,Unnamed: 0,name,location,address,type,rating
338,191,Mang Raul's Barbeque,Las Piñas,"CRM Avenue corner CRM Gloria | BF Homes, Almanza, Las Pinas City, Las Pinas, Luzon, Philippines","Filipino, Barbecue, Asian",4.0
339,29,Cecile's Bermuda Country Restaurant,Bacoor,"BF Resort Village, Las Pinas, Luzon, Philippines","Filipino, Asian",4.0
342,77,Tsokolateria,Baguio,"Igorot Stairs, Upper Session Rod, Baguio City, Baguio, Luzon, Philippines","Filipino, Cafe, Asian",4.0
343,98,Butch Seafood and Grill Restaurant,Batangas,"National Rd | Alangilan, Batangas City, Luzon 4200, Philippines","Filipino, Seafood, Asian",4.0
322,187,Razon's Las Pinas,Las Piñas,"Unit 236-237 SM Las Pinas Zapote | Alabang Road, Las Pinas, Luzon, Philippines"," Filipino, Asian",4.0
320,76,Chaya,Baguio,"72 Legarda Road, Baguio, Luzon, Philippines","Japanese, Asian, Sushi",4.0
297,506,RSM Lutong Bahay,Tagaytay,"Aguinaldo Highway Maharlika East, Tagaytay, Luzon, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
319,75,Oh My Gulay,Baguio,"Session Road, La Azotea Building, Baguio, Luzon, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
298,505,Gourmet Farms,Tagaytay,"Emilio Aguinaldo Highway | Silang, Tagaytay, Luzon 1403, Philippines","Mediterranean, Healthy, Vegetarian Friendly",4.0
299,501,Buon Giorno,Tagaytay,"Unit 4, The Cliffhouse at Tagaytay | Aguinaldo Highway, Tagaytay, Luzon, Philippines","Italian, Pizza, Vegetarian Friendly",4.0
300,500,Pamana Restaurant,Tagaytay,"1315 Aguinaldo Highway, Tagaytay, Luzon, Philippines","Filipino, Asian",4.0
301,499,Charito by Bag of Beans,Tagaytay,"Tagaytay-Nasugbu Highway | Maharlika East, Cavite, Tagaytay, Luzon 4120, Philippines","Vegetarian Friendly, Vegan Options",4.0
302,498,Antonio's Grill,Tagaytay,"One Destination | Aguinaldo Highway, Tagaytay, Luzon, Philippines","Filipino, Barbecue, Asian",4.0
304,263,The Chocolate Kiss Cafe,Marikina,"Magsaysay Avenue | Ang Bahay ng Alumni, Quezon City, Luzon 1101, Philippines","Dessert, Filipino",4.0
305,329,Red Platter,Naga,"Cereza, Magsaysay Avenue, Naga, Luzon 4400, Philippines","Filipino, International, Asian",4.0
306,211,Legazpi Four Seasons Restaurant,Legazpi,"Tahao Road, Legazpi, Luzon 4500, Philippines","Chinese, Asian",4.0
307,36,Neil's Kitchen,Bacoor,"Filinvest Avenue | Lot C 701 And 704 Westgate, Muntinlupa, Luzon 1770, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
308,183,Yellow Cab Las Pinas,Las Piñas,"268 Real Street | Alabang Zapote Road, Pamplona Dos, Las Pinas, Luzon, Philippines"," Italian, Pizza",4.0
309,328,Bob Marlin Restaurant and Grill,Naga,"Magsaysay Avenue, Naga, Luzon 4400, Philippines","Filipino, Asian",4.0
311,37,Racks,Bacoor,"Alabang Zapote rd | G/F SM Southmall, Las Pinas, Luzon, Philippines"," American, Barbecue",4.0
312,38,Arca's Yard Cafe,Baguio,"777 Tiptop, Ambuclao Road, Baguio, Luzon, Philippines","Filipino, Café, Asian",4.0
313,44,Good Taste Cafe & Restaurant,Baguio,"Carino Street | corner Carino snd Otek Streets, Rizal Monument, Baguio, Luzon 2600, Philippines","Chinese, Filipino, Asian",4.0
314,46,Hill Station,Baguio,"Upper Session Rd | Casa Vallejo, Baguio, Luzon 2600, Philippines","Filipino, Spanish, International",4.0
316,53,Lemon and Olives,Baguio,"# 26 Outlook Dr, Baguio, Luzon 2600, Philippines","Mediterranean, European, Greek",4.0
317,67,Secret Garden,Baguio,"34 Paterno Street | Southdrive Road, Baguio, Luzon 2600, Philippines","Italian, Pizza, Vegetarian Friendly",4.0
318,171,"MCM Restaurant, Bakeshop, and Boutique",Iriga,"1 Highway, Iriga City, Luzon, Philippines",Filipino Asian,4.0
473,234,Starbucks,Lipa,"J. P. Laurel Highway | No. 001, Barangay San Carlos, Lipa City, Luzon, Philippines",Cafe,3.5
475,348,The Blue Rock Restaurant,Olongapo,"Baloy Long Beach Bo Barretto, Olongapo, Luzon, Philippines","Bar, Seafood, International",3.5
479,479,Leslie's,Tagaytay,"Aguinaldo Highway Crossing | Silang West, Tagaytay, Luzon, Philippines","Filipino, Asian, Vegetarian Friendly",3.5
480,503,Josephine Restaurant,Tagaytay,"58 Tagaytay-Batangas Highway Kilometer | Tagaytay City, Tagaytay, Luzon 4120, Philippines","Filipino, Seafood, Asian",3.5
471,222,Bigg's Diner,Legazpi,"Pacific Mall, Legazpi, Luzon, Philippines","American, Filipino, Fast Food",3.5
484,484,Mahogany Market Eateries,Tagaytay,"Mahogany Market | Mahogany Ave., Tagaytay, Luzon, Philippines","Filipino, Asian",3.5
490,168,Desny Grill Bar Resto and Café,Iriga,"San Nicolas, Iriga City, Luzon, Philippines","Filipino, Asian, Bar",3.5
472,227,Hapag Filipino Restaurant,Lipa,"Gen.Luna St, Lipa City, Luzon 4217, Philippines","Filipino, Asian",3.5
474,237,Lomi King,Lipa,"Pres. J.P. Laurel Highway, Lipa City, Luzon 4200, Philippines","Filipino, Asian",3.5
470,199,Eduardo's Peri Peri Flame Grilled Chicken - SM Southmall,Las Piñas,"SM Southmall - Alabang-Zapote Rd | Las Pinas CIty, Las Pinas, Luzon, Philippines","Barbecue, Filipino, Asian",3.5
460,172,Biggs Dinner,Iriga,"Iriga City, Luzon, Philippines","American, Filipino, Fast Food",3.5
452,541,Gerry's Restaurant & Bar,Tarlac,"Mc Arthur Highway | at SM Tarlac, Tarlac, Luzon 2300, Philippines","Filipino, Asian",3.5
454,531,Dampa sa Tarlac,Tarlac,"San Rafael, Tarlac 219 MacArthur Highway | near Luisita, Tarlac, Luzon 2300, Philippines","Filipino, Asian, Seafood",3.5
469,198,Kuya J,Las Piñas,"Alabang-Zapote Road | SM Southmall, Las Pinas, Luzon, Philippines","Filipino, Asian",3.5
457,100,"F, Baylosis",Batangas,"G.C. Berberabe Subd., Pallocan West, Batangas City, Luzon 4200, Philippines","Filipino, Asian",3.5
456,90,Big Mikes Grill House,Batangas,"Pastor St | Pallocan West, Batangas City, Luzon 4217, Philippines","Steakhouse, Filipino, Pizza, Asian",3.5
462,459,Holidayland Restaurant,San Fernando Pampanga,"Olongapo-Gapan Road | Pampanga, San Fernando, Luzon 2000, Philippines","Filipino, Asian",3.5
463,458,Hungry Neighbors,San Fernando Pampanga,"Mac Arthur Highway Dolores, San Fernando, Luzon 2000, Philippines","American, Asian, Fusion",3.5
464,185,Mesa Filipino Moderne,Las Piñas,"Alabang-Zapote Road | Ground Level, SM South Mall, Las Pinas, Luzon, Philippines","Filipino, Asian",3.5
465,188,Kenny Rogers Roasters,Las Piñas,"SM Southmall, Alabang- | Zapote Road,, Las Pinas, Luzon, Philippines",", American",3.5
466,449,Everybody's Café,San Fernando Pampanga,"MacArthur Highway | Dau, San Fernando, Luzon, Philippines","Filipino, Asian",3.5
467,192,Tokyo Tokyo,Las Piñas,"Ground Floor, SM Southmall, Alabang-Zapote Road,, Las Pinas, Luzon, Philippines","Japanese, Asian",3.5
468,193,Zark's Burgers,Las Piñas,"Alabang-Zapote Road | Southmall, Las Pinas, Luzon 1740, Philippines", American,3.5
491,257,Makan Makan Asian Food Village,Manila,"2nd Floor, Manila Ocean Park | behind Quirino Grandstand, Manila, Luzon, Philippines （原名Makansutra Asian Food Village）","Other Chinese Cuisine, Southeast Asian, Japanese",3.3
493,17,Banapple Pies & Cheesecakes,Antipolo,"206 Katipunan Avenue | Blue Ridge, Quezon City, Luzon 1109, Philippines","Filipino, Cafe, American",3.0
495,468,Café Ysabel,San Juan,"455 P Guevarra Street | Barangay Addition Hills, Manila, Luzon 1500, Philippines",Western-style,3.0
498,170,Think Coffee,Iriga,"Hiway 1, San Miguel, Iriga City, Luzon, Philippines","American, Café, Italian",3.0
